"ID","Species","muscle1_x1","muscle2_x1","muscle3_x1","muscle4_x1","muscle5_x1","muscle6_x1","muscle7_x1","muscle8_x1","muscle12_x1","muscle13_x1","muscle16_x1","muscle1_x2","muscle2_x2","muscle3_x2","muscle4_x2","muscle5_x2","muscle6_x2","muscle7_x2","muscle8_x2","muscle12_x2","muscle13_x2","muscle16_x2","muscle1_x3","muscle2_x3","muscle3_x3","muscle4_x3","muscle5_x3","muscle6_x3","muscle7_x3","muscle8_x3","muscle12_x3","muscle13_x3","muscle16_x3","muscle1_x4","muscle2_x4","muscle3_x4","muscle4_x4","muscle5_x4","muscle6_x4","muscle7_x4","muscle8_x4","muscle12_x4","muscle13_x4","muscle16_x4","muscle1_y1","muscle2_y1","muscle3_y1","muscle4_y1","muscle5_y1","muscle6_y1","muscle7_y1","muscle8_y1","muscle12_y1","muscle13_y1","muscle16_y1","muscle1_y2","muscle2_y2","muscle3_y2","muscle4_y2","muscle5_y2","muscle6_y2","muscle7_y2","muscle8_y2","muscle12_y2","muscle13_y2","muscle16_y2","muscle1_y3","muscle2_y3","muscle3_y3","muscle4_y3","muscle5_y3","muscle6_y3","muscle7_y3","muscle8_y3","muscle12_y3","muscle13_y3","muscle16_y3","muscle1_y4","muscle2_y4","muscle3_y4","muscle4_y4","muscle5_y4","muscle6_y4","muscle7_y4","muscle8_y4","muscle12_y4","muscle13_y4","muscle16_y4"
1001,"dmelanogaster",145.246350244885,285.472261589262,427.351546346146,499.471196587215,505.759891000036,772.965581330191,966.103022519893,490.012355448009,630.311950250787,716.964357127899,952.390880706325,-7.74571203578491,206.2677605828,330.18966419517,472.67338994188,794.803229036017,824.860936928163,936.478877530207,586.012876688945,675.287873838891,784.323198694426,1180.73652118935,117.866645630017,312.98199312691,432.566588173969,635.207989678219,830.514222003636,942.634235937111,991.987451320002,886.973869417364,781.806430401127,833.414717748353,1264.55141248772,314.019121473607,383.409508295746,510.199059451791,600.215491707595,564.554502818899,914.877146344986,1005.59665150165,756.699481979817,715.344149441027,789.080007236703,1005.18717282122,27.4456974449309,33.4868802229586,-14.2402548503099,11.4011776335616,8.58010461551557,-73.1329004021209,6.84186086875491,487.607670652217,-161.598617615038,-124.093534147207,-4.50992522817357,468.294196076679,534.609569520199,525.119068597441,481.280708844531,453.009631103851,449.345890658505,494.55882125559,537.047651426736,352.20274747683,440.458804572605,710.542332653519,538.010508898153,528.145292491387,572.875031774781,479.393902978992,403.504838116366,503.250011774746,525.838677642663,483.625878091429,439.304769689074,459.085046600465,741.491985324029,42.4526134082113,40.0209386682645,3.11328961940641,10.2998263953089,2.44274119037073,-21.9100244050522,9.89948730097443,427.792269959025,-145.087487546229,-88.8227737768695,-7.34528655392835
1002,"dmelanogaster",77.9011370534026,245.218217989157,422.071770221761,495.172140502358,520.783704111138,798.409220541881,930.562928306127,477.237340663874,683.984800550886,755.115888314696,978.51466560137,-6.14618855737781,146.039705633572,301.791237536292,477.237340663874,696.939658330249,770.503536825707,899.623398531878,563.019149679444,638.93179307389,714.362596435737,1179.41630185895,62.8519673926043,263.530114745638,368.745715239423,586.278802718182,786.316362138066,895.439674421348,951.703832936334,775.522711523769,705.640997062403,776.853746655581,1233.36752577146,182.083262310546,341.960058098694,496.561843804596,574.452226244321,583.119501685913,919.520436065337,1001.27959596773,699.673436239513,748.835982550872,792.695481421483,1020.54578187431,-10.4659673190968,-31.8217336265812,-8.49780993678376,9.59035621757987,23.9200977269819,-74.7741089405403,-2.10595401258957,510.048718746756,-113.555975228278,-107.156998438423,36.9484816612562,477.410630186381,494.004731381857,500.476887949503,510.048718746756,441.030386787823,442.183705288026,471.988582238981,552.128430315599,399.065437373799,438.409263544444,612.932353712444,508.231060900143,499.361553983873,533.572412234597,523.585699851818,443.246825847253,477.423700482297,500.38581435487,470.985662766017,439.721349181119,461.630951674582,606.006003659551,-20.3788100190505,-42.5345635044978,2.86987478139222,-1.47883196739536,10.1724344715629,-16.625347543507,30.6897621419124,426.001152600855,-148.842439792404,-113.632181148957,-4.13445360894741
1003,"dmelanogaster",126.894202493717,247.799567136128,408.842347512442,491.163365284986,510.884282322111,713.217488136593,881.152504176913,461.047043047995,608.958273482586,671.998940044104,954.438832871238,-9.54656406110915,125.182017924883,289.32355138905,436.250940305376,729.538902900073,755.621963159778,890.160410727799,558.178207940717,639.926865085055,700.8669502835,1097.19620947429,71.262125789999,285.11483857056,398.056215492258,574.752290996791,762.64722598511,892.516984830035,983.795377454918,764.224823201388,717.265064897902,762.281349834998,1157.65657806504,242.161611941984,384.980220788691,484.208612130559,561.088195726576,560.616572711278,865.725067983029,967.91058890062,705.648173644135,680.904293036677,727.218212424991,988.277511530085,0.631011762793205,129.070592582808,106.317537204556,80.3576314402912,100.860666219972,8.56616525013509,-20.5018606251064,510.241021935647,51.0297544540481,51.7708884257751,22.0173211947795,443.827194633615,518.064524346834,530.506530719684,511.114430434443,481.528297050932,448.053634451434,466.085133021613,566.149119192944,450.574053545518,474.729633395816,592.529995742755,536.54162452888,549.466291649377,559.391481722762,538.20153680756,425.118571160662,492.875833619696,507.808643194472,506.681416983955,469.800280294526,462.292057216762,609.455113052147,100.13827234446,195.17430916747,77.6340729682401,87.1496044747805,74.0151951937866,-9.59190543985486,1.80303277600655,428.281815036251,55.244790687701,3.09587175333747,9.6967292035983
1004,"dmelanogaster",124.404789985639,329.105275045844,441.109231492931,484.4530798406,577.686462208705,768.081345392852,896.898783180326,545.124516539141,637.062285723565,730.105261239135,952.778379481847,-16.3549857690522,202.754943181124,354.688738032268,551.619910967397,749.708189773376,760.001030105949,869.275886287416,594.049097145398,633.470801798051,705.288065521208,1104.83072623737,72.3216889924801,334.577845637373,436.78277179318,650.889928168148,802.725779560406,873.083316836099,936.10938690591,766.756510056564,704.387768010128,753.921173937989,1155.68181341605,303.445458288433,420.709500509584,510.480935897793,602.942229715204,600.087000564263,896.54261726302,956.095654928623,759.066015599505,707.78798539871,781.313973157234,993.435159136946,8.29501928240528,42.7953338150825,10.4392520888513,25.1506495000656,94.6259893786511,-66.7878035224336,-23.0907672059414,556.050176289648,30.0741751875692,-2.04585505325259,18.0926765345114,447.372992495457,574.080945234976,579.280087290805,579.228298781627,484.76705604583,462.450222680688,500.970342865195,618.43045545992,374.550099017405,432.995224510191,655.817319208657,507.040807798905,590.78117354537,625.561645195031,533.445807957529,462.410300609577,502.787625229881,526.181058183856,540.054388192289,442.846174552489,483.364532909072,657.165622154195,55.9009747592449,48.146956959532,1.51968715992936,23.4132432556542,58.6263947368439,-19.6129384321589,-12.9561870144629,472.213669700249,8.25230360649788,-48.554228918383,3.71338665176273
1005,"dmelanogaster",140.400471822582,298.896002251024,428.757319769132,509.794996027455,514.899900738052,783.321205024975,969.937033006909,498.731582958559,635.534151725566,731.220179190788,948.499591798951,-13.7785102730285,218.298315860654,325.398618668254,486.986467602705,795.794887976404,830.351207314471,910.500378209995,588.299028524481,679.146526793016,783.379036213993,1164.8954898273,114.836183730057,318.851350358863,446.785885794693,652.396863965649,839.496823898822,943.134125593993,987.346450729996,871.611700430834,768.206950657894,849.194429296921,1247.43745393876,311.634771111017,402.664929615738,517.029432115212,614.544613014627,577.131011374375,912.350982385579,1004.12221023635,773.951925046612,728.638215235746,793.235263960248,1005.73359267944,24.5396792017212,30.2369122508673,-16.5655527551361,11.955595088008,14.243864796068,-68.209874428984,18.1859184217794,490.587390052578,-158.907265864253,-108.872536734395,0.814193721811705,465.273006056032,531.248628759089,522.365453698986,481.188591346145,447.153333037539,451.045430543667,491.714507072539,524.201747564317,364.034130489602,429.548397053207,696.715902253311,539.55213369425,515.365199185255,573.172773524399,498.343797818163,421.419853721853,502.661059853635,534.890596355676,481.88006427707,430.545991221447,457.678916080914,726.65482324975,26.2526976676226,30.2558322665439,7.37365113333578,31.4429551336752,10.7875657922104,-7.2618544819171,23.4025223615538,431.190873632784,-110.011750256798,-71.6887554204387,18.1807646059352
1006,"dmelanogaster",177.900998843418,319.235973433296,524.74884334837,562.222394771102,617.279787631452,851.998024853629,936.913320556498,571.70720728936,727.538614065616,790.857486307521,953.89154636974,-5.53454094560799,176.753870836421,327.557835636883,508.237756277525,765.220931499635,843.24303465002,908.632681432968,618.629677242049,719.418141551727,790.506675319425,1079.76982801155,73.8488677854902,308.224263930504,428.205710834374,645.140023046015,837.822321917213,908.988509504564,943.921685776295,828.49959403972,788.033594525492,845.090395090432,1139.08199920773,318.067921946694,435.072767874393,581.203664346677,666.512640585593,652.992748728647,929.407978763637,993.30928118861,754.7806403294,788.303503849137,858.507324431114,1004.14392856387,3.14826502646437,7.98859221005125,-25.5654070875976,-0.314302885282143,27.149221957939,-39.3255663287714,-15.1691109125798,538.62961951484,-2.14155903826323,0.0240987375751965,-1.54175833403478,491.235339981653,500.180150304957,520.599307370799,529.361006581826,449.874202866022,481.029436012905,493.30805204324,557.4833837937,393.427047158324,469.698085902174,622.996132334733,540.585823115961,532.766804819253,563.667916269342,550.746870638503,480.625894452867,495.802118725994,503.251635633468,481.502455223489,453.747357261924,480.507762173471,628.254971605131,2.03224069428722,4.10509487786664,-11.5819324213727,6.52472035797449,12.8617313046376,-10.9819598507069,9.55613830999551,444.344779122737,-0.359986263146288,-28.3720312779558,3.87236789494491
1007,"dsantomea",87.7636990668014,236.106430136989,414.820091740689,444.293647896886,481.849928467033,752.57665426696,913.467114953968,466.211604901791,597.992628092416,687.594801241563,984.424841752292,-8.28295235464526,113.16202459784,237.076311693864,437.939869693103,703.12389663377,722.607203194569,859.71121761424,519.088056029096,595.727351113123,674.533236445332,1084.00193595659,56.3538749248387,228.214175011474,327.876552746096,542.548214401429,761.098251675051,855.664829242137,970.609303055621,765.532051731909,681.833287431213,752.511236086324,1139.97533809443,219.57967786012,318.466261395169,468.305923971259,552.518407304757,532.02325534415,892.190891464378,998.91400377024,679.729704484127,689.693127507201,779.65942367834,1037.51411690665,-5.8295031302234,-1.65772956865123,18.9910033948028,28.5322981797827,50.2990425519912,-5.93982240800104,10.7383887828173,482.017037102192,-77.2161599555877,-37.0579323157449,19.3868807246387,483.114714621085,513.077521733592,504.131290817092,490.887330299512,453.508934654568,455.341507334577,475.189681003943,514.749524550268,369.481140682537,425.38036783788,549.742920921467,521.475991014295,514.814099211111,533.526981975365,505.416402967553,452.017075809024,486.396761510372,497.229998358599,480.217606623103,426.065104239407,467.41404349241,548.065799339301,1.44129605716026,12.6242932554681,28.3944485793784,29.0686283488098,45.6226757151468,18.0636111878921,18.3728172408989,430.492848538802,-41.4728780796968,1.08688057748887,14.8923489955689
1008,"dsantomea",109.723566768225,222.815231811677,393.665314868436,422.8471018137,463.328431186797,735.350408095773,901.42807862079,439.139482448533,608.254960574658,678.819655867118,920.282997038406,-22.5251477129618,88.7726370387083,227.995261664148,411.928076278285,654.760787276375,730.901376297847,902.653983746512,453.33597830592,574.836201164149,666.141994963146,1115.45853711189,34.29385888656,206.401545984835,302.050084061384,531.765889141863,747.532995875233,896.029233080576,988.491198740814,731.550272613826,661.376735656156,735.845043355544,1171.17467652354,205.030605587481,304.072303102458,464.859984513863,543.534691343137,537.597878837733,899.352646560939,998.11733048099,658.996675801609,691.604730547965,782.14801794466,993.349090656602,-17.8944468289777,14.0250886799716,24.0959206971773,29.5535443887313,55.7237447767014,14.6205961487223,10.397790116794,499.142484577416,-57.7231839703665,-26.1947621845441,22.7389525122418,459.46708595312,492.955383117155,479.745523091387,503.833659404729,443.739788435207,465.932906515977,502.999889250945,548.853450915554,402.930880178935,453.9836204966,568.834485054929,506.127663761302,505.033835827909,508.490819161246,532.283061287738,490.914164182964,509.710637148754,497.540988557271,482.559750933363,444.229050364087,478.151376692221,570.95690915158,20.0250605848149,43.3024954769513,37.7314301781384,51.8015098441148,65.232742626608,15.0328832687995,8.58166177954549,439.357025721755,-35.0345469464385,18.4023950315954,6.0702598049972
1009,"dsantomea",106.02576414096,226.697201901353,435.269498532225,487.432308270006,494.504386820907,778.219777573778,904.428889448447,488.496342624586,631.533073183626,739.819916101615,952.329871348011,-2.80089178662296,122.196989664178,236.248539961329,464.419920802558,741.424774337814,785.581563500124,894.457992413833,509.381268260304,622.924067734032,717.468571062823,1111.01835053291,52.7838445881783,230.886809482845,317.711380947728,569.75072782208,768.564038422261,895.417012441021,977.679668482344,774.129332119526,720.685673846853,791.872296181544,1180.55419101405,214.789425566248,319.302361274458,490.472135387006,567.700591159277,536.915729268422,903.495834321099,987.823273462976,749.858392876764,734.304853198477,830.514266370558,1007.50173457639,-35.4385370330281,-34.8039093865849,-18.5592144074353,19.3774643277156,20.7371062641558,-38.6650284932124,3.37316862723224,494.254373586944,-113.376407495414,-69.2477181263708,30.1044689367004,472.54389759377,514.123535905809,509.410700093764,497.908594024591,463.816950452884,528.820329393707,560.858827986658,535.48491631652,484.376098333651,459.501908997423,624.131531243059,509.561884705004,528.216411506874,535.666161014416,518.626562266732,446.436589978238,592.717300474922,589.061100130299,490.721362797997,477.540275908606,498.694860272704,646.980987540004,-27.3688026701455,-25.9897084779891,10.9061783155542,20.7514796868907,2.47144635449008,-1.86868838225709,26.5931465383746,406.823929023374,-87.0157041335723,-23.8987464873077,28.5802153712246
1010,"dsantomea",96.8958583598273,218.77561843906,449.134710179766,480.879261379158,496.101323784399,783.180923592765,905.828271056776,512.934389370535,627.039568333174,729.034087626726,944.125795510683,7.57772009527865,129.712666792269,291.377164206184,481.367343203865,740.57946025698,802.706272736624,906.386587395517,590.962535998573,635.166198863933,727.975204104875,1133.64090369544,92.9141199611348,249.908207524205,395.969828332121,632.533474393382,831.663792372974,918.3981138518,1007.0681970702,831.663792372974,720.164114279359,812.618056797832,1196.58087346767,201.771742409407,312.803174588883,491.930512800983,575.793105071143,561.048544841719,905.797420315833,999.390806077076,727.291554681701,729.126187963652,805.099851842859,988.468334060897,-20.5985084277712,-14.7365773261435,6.68727929408844,46.8977039474911,51.2164936773121,-16.4193075589174,14.7549338064779,518.918861370276,-70.1018256448781,-31.26914074776,18.1104153107863,508.400382581894,538.435004645265,530.387118065915,522.301500832925,467.228704183122,484.834941232303,482.811243028892,553.346602135084,399.892605311788,450.416801201767,540.823181946547,533.132781381418,559.406923162833,549.84956607454,542.729714299121,484.764678846821,496.671124393874,505.299777035604,484.764678846821,454.268893376963,477.712745027719,546.930499459603,-27.519065200836,-3.437986134156,19.8863209600579,26.2800660223763,36.3316163415091,3.31537087844734,8.62547441720584,447.467329518637,-42.6814941033688,-7.07547262995162,13.8440643517059
